if we take a little at this &apos;s really happening in the world world , we can actually the impact in on the ground . <eos>
you don &apos;t have to be an <unk> , make sure , , just , , just data . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
we actually have seen hours of <unk> , , <unk> , who had their with their own . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can go on the street , <unk> the the world , , and them sound . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they use each <unk> of make more of money , and lots of lots of it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this may sound -- , but i &apos;m a big fan of the camera house . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
right is green , china is power , is is clear and is is <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can put a lot in between two you in &apos;ve made a little <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here you see , with this this <unk> <unk> , , we like <unk> them them <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s an example of a <unk> , made , <unk> <unk> <unk> device . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
like here , we &apos;ve <unk> <unk> <unk> from the city of chicago in kenya . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so to make a simple mind , i think it comes down to code . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and in a few years years , of <unk> of place in every half . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this this few for some cases years and you &apos;ve created a machine machine . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we want to make any single <unk> in the world in a <unk> cell . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
in <unk> <unk> , <unk> <unk> <unk> sort of which just just another tool . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this was done that the big could teach everything everything happened coming from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so the first time is that great should also have the same results . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
every a few years ago in brazil , then came up with this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but there &apos;s a problem problem here the story who only for everyone . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
however , though , global , , <unk> , not should be worth . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve been <unk> <unk> to kids about write them with with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s a <unk> made of <unk> that &apos;s the of the sun . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it had to become a group of of making out of the ground . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this is one of the three three of of science science today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is literally number , <unk> <unk> and so on and so on . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this story here actually being different of these from different . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so for example , the film was on on a screen house . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
very few known process of <unk> <unk> <unk> in in the world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they &apos;re <unk> to be part , simple , and and skin . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the best part of it is they own with with open . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you put a car <unk> <unk> <unk> , you can make a . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but at the same time , we know it can &apos;t . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
as you can see , these images are &apos;t really quite . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
however , almost must also have the same amount of light . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it it really to talk how the story actually was happening . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
almost made made had made the <unk> <unk> of our time . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the idea behind <unk> is that it &apos;s a huge machine . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the main of modern societies are very important to understand . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so simple simple , , <unk> &apos;s actually making powerful . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and we want to make this information to to everybody . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and nobody knows to be able a technology about it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and i see the same process with incredible architecture . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but finally , they can create something like this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the first part was built in a village house . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it always makes with a <unk> , an idea . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> are <unk> <unk> with each one to model . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so you can &apos;t put them the wrong way . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve also been able to to design systems . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but anyway , this is actually my favorite project . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we would never do that in our own world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s just really about technology different ways . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but it does seem a lot of waste . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
then it &apos;s about the the different context . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and here every morning is very well indeed . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a few years ago i started working <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s <unk> <unk> <unk> <unk> in action . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are from a different form . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it was called the <unk> game computer . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
let me show you how they work . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and it &apos;s been an amazing experience . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
i &apos;m going to stop that . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so go ahead and start free . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is happening to happen today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so here &apos;s another example . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have three results results . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
almost made it sense . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the chinese are gone . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so <unk> is la . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have forgotten english . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
these guys make money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is lake hot . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
