we trust them with our smiles _num_ % and hope to come here always . <eos>
the entire staff was friendly , prompt , and efficient . <eos> <pad> <pad> <pad> <pad>
and george and the staff are friendly and super courteous . <eos> <pad> <pad> <pad> <pad>
the staff are insanely sweet every time i go . <eos> <pad> <pad> <pad> <pad> <pad>
for making the hot chocolate warm for my toddler . <eos> <pad> <pad> <pad> <pad> <pad>
sesame chicken ( $ _num_ ) - excellent sauce . <eos> <pad> <pad> <pad> <pad> <pad>
food was really good , as was the service . <eos> <pad> <pad> <pad> <pad> <pad>
best chinese i 've found in the scottsdale area ! <eos> <pad> <pad> <pad> <pad> <pad>
we got lunch specials and left feeling very satisfied . <eos> <pad> <pad> <pad> <pad> <pad>
their breakfast sandwhiches are delicious and really filling . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
will continue to stop by here to relax ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
great neighborhood chinese place : check it out ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
everything tastes fresh and as it should be . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
we love going there for the lunch buffet . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
also , everyone was super friendly and nice ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
service is attentive , prompt , and pleasant . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
george 's seafood pocket is the best appetizer ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
i have yet to find one better . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
baristas are always pretty chill and friendly . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the front desk staff is very helpful . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the hygienists are so caring and thoughtful . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
george himself is often there as well . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the food was fresh and very flavorful . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
probably my favorite restaurant around the area . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
probably the best coffee they make . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it is so rich and creamy . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the service is decent as well . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
thank you for a great coffee . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i love george & son 's . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i highly recommend both of these . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the atmosphere is extremely nice inside . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
my water glass was always full . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
we will definitely be back again ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
excellent knowledgeable dentist and staff ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
very caring and friendly staff . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
good service and nice people . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it 's worth the trip . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
we enjoyed the friendly service . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
best chinese food in scottsdale . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the bonus is the service . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the price was very reasonable . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i dream of this place . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
love their food and service ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
very nice contemporary chinese cuisine . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
recommend the shrimp fried rice . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
best chinese food in arizona ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the honey chicken is delicious ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
this place does it right . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the salmon was prepared perfectly . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
their cappuccino is good . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
highly recommend for anyone ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the best in town ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
always friendly and fast . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i strongly recommend it . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i love the food . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i love the ambience . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i love the prices . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
everything else was fantastic . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
best chinese hands down ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
love this place . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the classics taste great. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
good location . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
nice atmosphere ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
_num_ starts ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
friendly staff . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
nice people . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
highly recommended . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
excellent food . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
yum yum ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
wow ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
delish ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
