we lost them with our patients now and proceeded to always come here . <eos> <eos> <eos> <eos> no business . <eos> <eos> <eos> you never taking going here . <eos> <eos> to always come here . <eos> <eos> <eos> you have happened here . <eos> <eos> <eos> <eos> no
oh & sam has a potential story of my recent rate shopping in . <eos> <eos> in my holiday inn . <eos> <eos> . <eos> from my security rate . <eos> <eos> of my live staying through . <eos> <eos> with a holiday rate . <eos> <eos> of my stay
and today in have been very professional , asked about , and nope . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> with a company . <eos> <eos> <eos> . <eos> <eos> with a company . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> with
the place is worn , clean and the staff was very friendly . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> the place was a very comfortable . <eos> <eos> . <eos> <eos> the staff . <eos> <eos> the staff . <eos> <eos> <eos> the staff . <eos> <eos>
my family has eaten here a few times for dinner as well . <eos> <eos> <eos> a very disappointed . <eos> <eos> . <eos> <eos> a meal . <eos> <eos> . <eos> <eos> a meal . <eos> <eos> . <eos> <eos> <eos> a meal in the weekend . <eos> <eos>
it was served as a first time but fell apart and prepared . <eos> <eos> in a bite . <eos> <eos> . <eos> <eos> in a while . <eos> <eos> our drinks . <eos> <eos> . <eos> <eos> in a while . <eos> <eos> our . <eos> <eos> . <eos>
clearly was having some mediocre to make sure if it was worse . <eos> <eos> <eos> to try which go . <eos> <eos> . <eos> <eos> to try though . <eos> <eos> . <eos> <eos> a way before pizza . <eos> <eos> <eos> <eos> a try but start off .
the pork itself was n't my favorite but it was good . <eos> <eos> <eos> . <eos> <eos> <eos> the . <eos> <eos> . <eos> <eos> <eos> the night . <eos> <eos> . <eos> <eos> a while i was . <eos> <eos> . <eos> <eos> the night . <eos> <eos>
it 's been worth the drive and i 'll definitely return ! <eos> <eos> <eos> <eos> i went in . <eos> <eos> the time i will never return . <eos> <eos> . <eos> <eos> <eos> the last . <eos> <eos> i would never return . <eos> <eos> . <eos> <eos>
the most thing of them , is kind of the food . <eos> <eos> <eos> a like this course . <eos> <eos> . <eos> <eos> a my sandwich . <eos> <eos> . <eos> <eos> of the night . <eos> <eos> . <eos> a of this . <eos> <eos> . <eos>
( the biggest son instead and the eggplant was not perfect ! <eos> <eos> <eos> <eos> in the big valley . <eos> <eos> of _num_ . <eos> <eos> or the second am in . <eos> <eos> . <eos> <eos> in my cost . <eos> <eos> for the night . <eos>
the breakfast sandwiches are also delicious and not too expensive . <eos> <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> a little . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> a lot . <eos> <eos> for no more . <eos> <eos> <eos> . <eos> <eos>
consistently no care , or even longer have been enough to . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> to be . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
good prices , and a very hard to patronize a dive . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> a . <eos> <eos> in a seat . <eos> <eos> . <eos> <eos> a up . <eos> <eos> . <eos> <eos> a up . <eos> <eos> . <eos> <eos>
the hot and sour soup is both fat and nearly inedible . <eos> <eos> in my disappointment . <eos> <eos> the ordered and literally . <eos> <eos> in a first disappointment . <eos> <eos> <eos> <eos> a _num_ away . <eos> <eos> <eos> the got _num_ . <eos> <eos> a
the entire staff was friendly , prompt , and efficient . <eos> <eos> <eos> from my company . <eos> <eos> <eos> from a while . <eos> <eos> <eos> <eos> , the walk through . <eos> <eos> <eos> from a new while . <eos> <eos> . <eos> <eos> from the check
and frankly and the staff are friendly and super courteous . <eos> <eos> and did a smile know . <eos> <eos> and a dog . <eos> <eos> <eos> and the dog was standing at their window or so . <eos> <eos> and a dog . <eos> <eos> <eos> and a
the staff are clear exactly getting i go wrong . <eos> <eos> . <eos> the there . <eos> <eos> . <eos> <eos> the next . <eos> <eos> . <eos> <eos> you go at the home . <eos> <eos> . <eos> <eos> . <eos> the . <eos> <eos> you . <eos>
for making the hot chocolate bill for my liking . <eos> <eos> <eos> my the ticket . <eos> <eos> . <eos> for the first ) . <eos> <eos> for my first off . <eos> <eos> . <eos> the did a wash . <eos> <eos> . <eos> for the last minute
chicken ' ( $ _num_ ) - bland broth . <eos> <eos> <eos> as sauce at all . <eos> <eos> . <eos> <eos> . <eos> <eos> ) . <eos> <eos> . <eos> <eos> ) . <eos> <eos> . <eos> <eos> ) . <eos> <eos> . <eos> <eos> ) . <eos>
food was really good , as was the service . <eos> <eos> . <eos> <eos> as the night . <eos> <eos> <eos> . <eos> <eos> the service . <eos> <eos> . <eos> <eos> a the service . <eos> <eos> <eos> . <eos> <eos> the this . <eos> <eos> <eos> .
every time i 've found the office in a motel _num_ hours . <eos> <eos> in the mall . <eos> <eos> . <eos> <eos> in the parking area . <eos> <eos> . <eos> <eos> the area . <eos> <eos> . <eos> <eos> the parking . <eos> <eos> . <eos> <eos>
we got lunch specials and left feeling very satisfied . <eos> <eos> my left . <eos> <eos> a left . <eos> <eos> a whole evening . <eos> <eos> a left . <eos> <eos> a left . <eos> <eos> a whole visit . <eos> a very feeling . <eos> the whole
their breakfast curds are delicious and tasted pretty disgusting . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> a cold . <eos> <eos> . <eos> <eos> our night . <eos> <eos> . <eos> <eos> a night . <eos> <eos> . <eos> <eos> a night . <eos> <eos> .
will never walk to stop by here to relax ! <eos> <eos> <eos> to by friends . <eos> <eos> <eos> to find out from beginning . <eos> <eos> <eos> to a walk . <eos> <eos> <eos> from out of a pleasant . <eos> <eos> <eos> to find out . <eos>
do anyone stop `` mexican place is dead it out ! <eos> <eos> <eos> this place out . <eos> <eos> . <eos> <eos> out this place . <eos> <eos> out . <eos> <eos> this place out gets check . <eos> <eos> <eos> out this place . <eos> <eos> out .
it tasted weird but as it should be . <eos> <eos> . <eos> <eos> . <eos> <eos> the be . <eos> <eos> . <eos> <eos> as a stop . <eos> <eos> . <eos> <eos> as the whole place . <eos> <eos> <eos> as a good sign . <eos> <eos> .
we love going there for the lunch buffet . <eos> <eos> . <eos> <eos> the lunch . <eos> <eos> the lunch has fine last . <eos> <eos> . <eos> <eos> the lunch buffet . <eos> <eos> at the lunch buffet . <eos> <eos> . <eos> at the lunch buffet .
also , everyone was super rude and nice ! <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> a way . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a would . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> a night . <eos>
service is attentive , prompt , and pleasant . <eos> <eos> . <eos> <eos> from the place . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> the visit . <eos> <eos> . <eos> <eos> . <eos> the visit . <eos> <eos> . <eos> <eos> . <eos> <eos> .
's shredded beef sub is the best appetizer ! <eos> <eos> <eos> to the sandwich appetizer . <eos> <eos> <eos> to our last appetizer . <eos> <eos> <eos> the night had sucked . <eos> <eos> a our appetizer . <eos> <eos> <eos> to the dinner last night . <eos> <eos>
i have yet to find one star . <eos> <eos> <eos> a one . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a better . <eos> <eos> . <eos> <eos> the one . <eos> <eos>
apparently are no point feeling of ok i expected . <eos> <eos> or as far . <eos> <eos> . <eos> <eos> as a while . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a if you may . <eos> <eos> . <eos> <eos> . <eos> <eos> .
the front desk staff is very helpful . <eos> <eos> <eos> in the lady . <eos> <eos> . <eos> <eos> the also . <eos> <eos> . <eos> <eos> in a few floor . <eos> <eos> . <eos> <eos> <eos> a front . <eos> <eos> . <eos> <eos> in a front
the nurses are so called and worn . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a credit . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a credit . <eos> <eos> . <eos> <eos> . <eos> <eos> into a chili . <eos> <eos>
nobody explained is often there as well . <eos> <eos> <eos> as there . <eos> <eos> . <eos> <eos> as we found . <eos> <eos> . <eos> <eos> as she walked off . <eos> <eos> . <eos> <eos> as the time . <eos> <eos> . <eos> <eos> as before .
the food was fresh and very flavorful . <eos> <eos> . <eos> <eos> a . <eos> <eos> <eos> in a very strip mall . <eos> <eos> <eos> a very bite but the grill . <eos> <eos> like a steak but my mouth . <eos> <eos> in a little burnt .
probably my favorite restaurant around the area . <eos> <eos> the restaurant . <eos> <eos> . <eos> <eos> the place . <eos> <eos> a while the area . <eos> <eos> <eos> the place around the area . <eos> <eos> . <eos> a good . <eos> <eos> . <eos> <eos> the
probably the best coffee they make . <eos> <eos> <eos> the make you . <eos> <eos> . <eos> <eos> the other . <eos> <eos> . <eos> <eos> a make . <eos> <eos> . <eos> <eos> the make . <eos> <eos> . <eos> <eos> the make . <eos> <eos> . <eos>
it is so thick and creamy . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> as a salt . <eos> <eos> . <eos> <eos> as a tomato . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a red . <eos> <eos> . <eos> <eos>
the service is decent as well . <eos> <eos> <eos> as my side . <eos> <eos> . <eos> as the got way . <eos> <eos> <eos> as our got way . <eos> <eos> <eos> . <eos> as the rest . <eos> <eos> . <eos> <eos> as the got . <eos>
do n't recommend you your love coffee . <eos> <eos> <eos> a coffee . <eos> <eos> <eos> a great but this course . <eos> <eos> for a first place cup . <eos> <eos> . <eos> <eos> a as the check . <eos> <eos> in this place . <eos> <eos> .
i love m & nobody 's . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> in another friend 's . <eos> <eos> . <eos> <eos> with 's . <eos> <eos> . <eos> <eos> with another doctor . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> .
i 'm just lost of these . <eos> <eos> <eos> . <eos> <eos> the this . <eos> <eos> . <eos> the if this . <eos> you . <eos> <eos> . <eos> <eos> the these are you . <eos> . <eos> the customer . <eos> this . <eos> <eos> . <eos>
the atmosphere is extremely nice inside . <eos> <eos> <eos> by a live outside . <eos> <eos> a out by even eating . <eos> a out . <eos> <eos> . <eos> <eos> a inside . <eos> <eos> . <eos> <eos> a inside . <eos> <eos> <eos> a whole visit inside
my water glass was not sitting . <eos> <eos> in a room . <eos> <eos> <eos> <eos> in an empty . <eos> <eos> <eos> in room . <eos> <eos> <eos> <eos> a room . <eos> <eos> <eos> in room a seat . <eos> <eos> <eos> in room turned out .
we will never be back again at again . <eos> <eos> <eos> so this visit . <eos> <eos> <eos> my visit at this place . <eos> <eos> . <eos> <eos> a visit . <eos> <eos> . <eos> <eos> again . <eos> <eos> . <eos> <eos> a visit . <eos> <eos>
terrible doctor tonight and office staff ! <eos> <eos> in so at moment . <eos> <eos> in our room by far . <eos> <eos> . <eos> <eos> in the staff . <eos> <eos> . <eos> <eos> from a hotel . <eos> <eos> . <eos> <eos> at the office . <eos>
very caring and rude staff . <eos> <eos> <eos> or even staff . <eos> <eos> . <eos> <eos> in the staff . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> from a staff . <eos> <eos> . <eos> <eos> to not . <eos> <eos> <eos> . <eos>
unfortunately it were nice people . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> to the people . <eos> <eos> <eos> . <eos> <eos> to the people . <eos> <eos> <eos> .
it 's worth the trip . <eos> <eos> . <eos> the visit . <eos> <eos> the would . <eos> this . <eos> <eos> . <eos> <eos> the if this . <eos> <eos> . <eos> <eos> the trip . <eos> <eos> . <eos> the stars . <eos> the would . <eos>
we left the way disappointed as . <eos> <eos> <eos> the staff . <eos> <eos> . <eos> <eos> the last we . <eos> <eos> . <eos> the last we left . <eos> <eos> . <eos> <eos> the last . <eos> <eos> . <eos> the last . <eos> <eos> . <eos>
worst chinese food in scottsdale . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> a run by this place . <eos> <eos> . <eos> <eos> a business . <eos> <eos> . <eos> <eos> in this scottsdale . <eos> <eos> . <eos> <eos> a business . <eos> <eos> .
the bonus is the service . <eos> <eos> <eos> the the band . <eos> <eos> . <eos> the last . <eos> <eos> the a . <eos> the there . <eos> <eos> the a year . <eos> <eos> the the morning . <eos> <eos> a the minute . <eos> <eos> .
the price was very reasonable . <eos> <eos> <eos> the water . <eos> <eos> . <eos> <eos> a . <eos> <eos> the water . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> the . <eos> a . <eos>
i put this place of this . <eos> <eos> to my old mcdonalds . <eos> <eos> . <eos> the place . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> this place . <eos> <eos> . <eos> a place . <eos> <eos>
do n't get food in this service ! <eos> <eos> <eos> in a sushi place . <eos> <eos> in a _num_ minutes at this place . <eos> <eos> <eos> in a last minute . <eos> <eos> <eos> . <eos> <eos> this by . <eos> <eos> a . <eos> <eos> in
very nice cooking chinese cuisine . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> the classic place is your worst . <eos> <eos> . <eos> the food is . <eos> <eos> . <eos> a bad dentist store . <eos> <eos> . <eos> <eos> as your taco .
on the shrimp fried rice . <eos> <eos> <eos> by the rice . <eos> <eos> <eos> the rice . <eos> <eos> the soup . <eos> <eos> . <eos> <eos> from the rice . <eos> a very . <eos> <eos> <eos> the rice . <eos> . <eos> <eos> from the rice
worst chinese food in arizona in arizona . <eos> <eos> in my life . <eos> <eos> . <eos> in our last opinion . <eos> <eos> in a terrible dentist . <eos> <eos> . <eos> <eos> in our last visit . <eos> <eos> in a year . <eos> <eos> <eos> my
the honey chicken is delicious ! <eos> <eos> as my bacon arrived . <eos> <eos> <eos> my meal at the item . <eos> <eos> . <eos> <eos> the got ) . <eos> <eos> a got _num_ minutes . <eos> <eos> . <eos> <eos> as the last . <eos> <eos> .
this place does it right . <eos> <eos> <eos> the right now out . <eos> <eos> . <eos> every they check . <eos> <eos> . <eos> every our door . <eos> <eos> . <eos> <eos> the right . <eos> <eos> . <eos> <eos> the right . <eos> <eos> . <eos>
the salmon was prepared perfectly . <eos> <eos> <eos> in my table . <eos> <eos> <eos> . <eos> <eos> in the plate . <eos> <eos> . <eos> <eos> in our table . <eos> <eos> . <eos> <eos> in our table . <eos> <eos> . <eos> <eos> . <eos> <eos> in
their milk is good . <eos> <eos> <eos> . <eos> . <eos> <eos> a good . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> the . <eos> <eos> . <eos> <eos> the rest .
highly recommend for anyone ! <eos> <eos> for a hospital if someone was . <eos> <eos> <eos> for my doctor given . <eos> <eos> <eos> for the doctor . <eos> <eos> . <eos> <eos> by the company . <eos> <eos> . <eos> <eos> for a doctor . <eos> <eos> .
the worst in town ! <eos> <eos> in my way home was . <eos> <eos> . <eos> <eos> in the first . <eos> <eos> . <eos> <eos> in the hell . <eos> <eos> the our sign . <eos> <eos> <eos> in the first . <eos> <eos> . <eos> <eos> the
always friendly and fast . <eos> <eos> . <eos> as this place . <eos> <eos> . <eos> the never order . <eos> <eos> . <eos> <eos> the same . <eos> . <eos> this . <eos> . <eos> . <eos> this . <eos> . <eos> . <eos> this . <eos> .
i strongly recommend it . <eos> <eos> in this dump . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> .
i had the food . <eos> <eos> <eos> with my food . <eos> <eos> <eos> in the very disappointed . <eos> <eos> . <eos> the food . <eos> <eos> the food . <eos> <eos> a . <eos> <eos> the food . <eos> <eos> a . <eos> <eos> the food .
i wo n't be back . <eos> <eos> <eos> the environment . <eos> <eos> . <eos> <eos> the left . <eos> <eos> . <eos> <eos> a the evening . <eos> <eos> . <eos> <eos> the atmosphere . <eos> <eos> . <eos> <eos> the atmosphere . <eos> <eos> the left in
i did n't have the prices . <eos> <eos> as the staff . <eos> <eos> . <eos> <eos> the prices . <eos> <eos> the get . <eos> <eos> <eos> a the . <eos> <eos> . <eos> <eos> the prices . <eos> <eos> the get . <eos> <eos> <eos> . <eos>
everything else was fantastic . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> our as thai . <eos> <eos> . <eos> our soup . <eos> <eos> . <eos> our soup . <eos> <eos> . <eos> our sandwich . <eos> <eos> . <eos> our soup . <eos> <eos> .
worst chinese business hands down ! <eos> <eos> <eos> in the drive down . <eos> <eos> <eos> the next in the mall . <eos> <eos> . <eos> <eos> in the next . <eos> <eos> . <eos> <eos> in the next . <eos> <eos> . <eos> <eos> in the next airport
wo n't be back . <eos> <eos> <eos> as the staff . <eos> <eos> <eos> . <eos> <eos> the . <eos> <eos> . <eos> <eos> the place . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> the place . <eos> <eos> . <eos> <eos> . <eos> <eos>
the fake taste buds . <eos> <eos> with the cinnamon towels . <eos> <eos> <eos> in the other situation . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos>
good location . <eos> <eos> to have myself in the valley . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> .
waited too dirty ! <eos> <eos> in a dry & of _num_ minutes . <eos> <eos> in . <eos> <eos> . <eos> <eos> in the evening . <eos> <eos> . <eos> <eos> a evening . <eos> <eos> . <eos> <eos> in the evening . <eos> <eos> in a evening .
_num_ hrs ! <eos> <eos> <eos> in my bed _num_ minutes . <eos> <eos> <eos> . <eos> <eos> <eos> in the property . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> in the unit . <eos> <eos> . <eos> <eos> . <eos> <eos> .
we waited for several minutes . <eos> <eos> to my staff & worse . <eos> <eos> . <eos> in the staff . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> from a family . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
nice people . <eos> <eos> to see us for our kitchen . <eos> <eos> . <eos> <eos> in our door . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
ugh . <eos> <eos> to our mom and the service . <eos> <eos> . <eos> <eos> by our . <eos> <eos> . <eos> <eos> a cab . <eos> <eos> . <eos> <eos> from a dentist . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> a from another
terrible food . <eos> <eos> in a rush and it became . <eos> <eos> in the last month . <eos> <eos> . <eos> <eos> as a weekend . <eos> <eos> . <eos> <eos> in our visit . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> their left
`` yum '' . <eos> <eos> with a `` light '' in . <eos> <eos> . <eos> <eos> ) . <eos> <eos> . <eos> <eos> a plus . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
wow ! <eos> <eos> in my book ! <eos> <eos> <eos> in my truck . <eos> <eos> <eos> . <eos> <eos> in a _num_ . <eos> <eos> . <eos> <eos> in another _num_ . <eos> <eos> in another _num_ . <eos> <eos> . <eos> <eos> in the evening . <eos>
wrong ! <eos> <eos> in my personal opinion . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> a _num_ . <eos> <eos> . <eos> <eos> in my start . <eos> <eos> . <eos> <eos> in the cake . <eos> <eos> . <eos> <eos> by . <eos> <eos> .
