we 'll have lost a car and will never go back here ! <eos> <eos> <eos> <eos> my time at home . <eos> <eos> <eos> <eos> in my life . <eos> <eos> <eos> <eos> my time at home . <eos> <eos> <eos> in my family . <eos> <eos> <eos> <eos>
also , this location has nothing but whatever . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
the front desk staff is very helpful . <eos> <eos> <eos> in a very dry . <eos> <eos> . <eos> <eos> in a table . <eos> <eos> . <eos> <eos> in very dry . <eos> <eos> . <eos> <eos> in very dry . <eos> <eos> . <eos> <eos> in very
the `` are so unprofessional and poorly . <eos> <eos> <eos> to me . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
maybe he is still when they were busy . <eos> <eos> <eos> <eos> to say . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
the food was just bland and very salty . <eos> <eos> and a chicken . <eos> <eos> . <eos> <eos> and very bland . <eos> <eos> <eos> and very bland . <eos> <eos> <eos> and a bland . <eos> <eos> <eos> and very bland . <eos> <eos> <eos> and a
probably would have been the worse place . <eos> <eos> <eos> in the restaurant . <eos> <eos> <eos> . <eos> <eos> the restaurant . <eos> <eos> <eos> the restaurant . <eos> <eos> <eos> . <eos> <eos> the restaurant . <eos> <eos> <eos> the restaurant . <eos> <eos> <eos> . <eos>
probably the same thing they did . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos>
it is so gross and flavorless . <eos> <eos> <eos> i was just rushed . <eos> <eos> <eos> and he felt . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
the service is all way overpriced . <eos> <eos> . <eos> <eos> as well . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
if i do n't give a big review . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> did n't like my bill . <eos> <eos> <eos> for a side . <eos> <eos> <eos>
i do n't know anyone 's treated . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> with me . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos>
i am completely tired of these . <eos> <eos> <eos> in my mouth . <eos> <eos> . <eos> <eos> of the phone . <eos> <eos> . <eos> <eos> in the door . <eos> <eos> . <eos> <eos> in the door . <eos> <eos> . <eos> <eos> <eos> in the door
the place was also dirty inside . <eos> <eos> <eos> a bit dirty . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos>
my husband was incredibly uncomfortable . <eos> <eos> <eos> in a bag . <eos> <eos> . <eos> <eos> in a row . <eos> <eos> . <eos> <eos> in . <eos> <eos> . <eos> <eos> in a row . <eos> <eos> . <eos> <eos> <eos> in a row . <eos> <eos>
we will not be going back again . <eos> <eos> <eos> <eos> for a server . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> did n't stay at this . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
worst attitude & horrible staff ! <eos> <eos> and was not pleased . <eos> <eos> . <eos> <eos> <eos> and not . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos>
very unprofessional and not friendly . <eos> <eos> <eos> and not to mention at least . <eos> <eos> to not . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> and not fresh . <eos> <eos> . <eos> <eos> <eos>
service was bad when people . <eos> <eos> <eos> . <eos> <eos> to us . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos>
it 's worth the mistake . <eos> <eos> <eos> to the wrong . <eos> <eos> <eos> . <eos> <eos> the back . <eos> <eos> <eos> the morning . <eos> <eos> . <eos> <eos> the morning . <eos> <eos> . <eos> <eos> the . <eos> <eos> . <eos> <eos> <eos> the
we left the experience though . <eos> <eos> <eos> the service at the counter . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> the service . <eos> <eos> . <eos> <eos> <eos> the service . <eos> <eos> <eos> . <eos> <eos> the service . <eos> <eos> . <eos>
worst chinese food in charlotte . <eos> <eos> <eos> in a row or miss . <eos> <eos> <eos> in the valley . <eos> <eos> <eos> . <eos> <eos> in . <eos> <eos> . <eos> <eos> in . <eos> <eos> . <eos> <eos> in . <eos> <eos> . <eos> <eos> in
the problem is the service . <eos> <eos> <eos> the service . <eos> <eos> . <eos> <eos> the service . <eos> <eos> <eos> the service . <eos> <eos> . <eos> <eos> the service . <eos> <eos> . <eos> <eos> the service . <eos> <eos> . <eos> <eos> the service .
the price was very poor . <eos> <eos> <eos> on the very limited . <eos> <eos> <eos> . <eos> <eos> in the floor . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
i hate to this place . <eos> <eos> <eos> and i ordered food . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> .
do n't get their service and service ! <eos> <eos> <eos> for their food and service . <eos> <eos> <eos> and their food . <eos> <eos> <eos> <eos> and i ordered food . <eos> <eos> <eos> <eos> in this place . <eos> <eos> <eos> . <eos> <eos> <eos> in it
very much better stuff down . <eos> <eos> <eos> to the same thing . <eos> <eos> <eos> <eos> to write home . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> .
unfortunately the steak was fried . <eos> <eos> with the shrimp fried rice . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
worst chinese food in las vegas ! <eos> <eos> <eos> in a lot of sushi . <eos> <eos> <eos> in with this place . <eos> <eos> <eos> in a side . <eos> <eos> . <eos> <eos> in a side . <eos> <eos> . <eos> <eos> in in vegas . <eos>
the chicken was gross ! <eos> <eos> <eos> a chicken with chicken sandwich . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> .
this place does n't get right . <eos> <eos> <eos> on my order . <eos> <eos> <eos> . <eos> <eos> it . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
the steak was barely warm . <eos> <eos> in my plate . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> .
my husband is mediocre . <eos> <eos> <eos> to the other thai . <eos> <eos> <eos> <eos> in the sandwich . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> in the sauce . <eos> <eos> . <eos> <eos> the sauce . <eos> <eos> <eos> in the sauce .
$ _num_ for two stars . <eos> <eos> <eos> for a second visit . <eos> <eos> <eos> for my money . <eos> <eos> . <eos> <eos> for my car . <eos> <eos> <eos> . <eos> <eos> for my experience . <eos> <eos> . <eos> <eos> for . <eos> <eos> .
the worst in i have ever had to go with my life in vegas . <eos> <eos> <eos> to my car . <eos> <eos> <eos> . <eos> <eos> in my opinion . <eos> <eos> <eos> in my life . <eos> <eos> <eos> in my opinion . <eos> <eos> <eos> .
do not so much . <eos> <eos> <eos> i 'll get like this place . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
i hate it for me . <eos> <eos> to get it in this . <eos> <eos> . <eos> <eos> on it . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
i wo n't be back . <eos> <eos> <eos> in the food . <eos> <eos> . <eos> <eos> <eos> in the food . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
i did n't recommend the hype . <eos> <eos> in the floor . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
i ca n't have the poor . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos>
everything was terrible . <eos> <eos> <eos> . <eos> <eos> again . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
worst chinese places for vegas ! <eos> <eos> to the house or two stars . <eos> <eos> <eos> for the street . <eos> <eos> <eos> . <eos> <eos> to . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
wo n't be back . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos>
the menu tasted like that , no one or the same smell . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
bad service . <eos> <eos> to be at least costs . <eos> <eos> <eos> to be desired . <eos> <eos> <eos> to be at least . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> the restaurant . <eos> <eos> . <eos> <eos> <eos> as a disappointment . <eos>
wait staff was slow to get _num_ minutes at me . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
_num_ minutes for _num_ minutes . <eos> <eos> and no one came . <eos> <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos>
slow service . <eos> <eos> to poor quality with this location . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
nothing to write home about you wo n't take the phone . <eos> <eos> <eos> <eos> to be treated . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> to us . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> to us . <eos> <eos>
ugh . <eos> <eos> and my order was completely uncomfortable . <eos> <eos> with my order . <eos> <eos> . <eos> <eos> with a refund . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
horrible service . <eos> <eos> in the food with chicken . <eos> <eos> <eos> in a terrible . <eos> <eos> <eos> . <eos> <eos> food . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> food . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
then _num_ mins . <eos> <eos> with no one came on . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
_num_ minutes for _num_ minutes of food . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
gross ! <eos> <eos> to get _num_ minutes with no . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
